gene_symbol	full	reduced
A1BG	0.190346613	
AAMDC	0.547459104	
AARSD1	0.640840802	0.645594242
ABCA2	0.37402223	
ABHD14B	0.63596651	0.646046497
ABL1	0.769480185	0.774062189
ABO	1.495197182	
ABRAXAS2	0.68376371	
ACAA1	0.928406449	0.93139034
ACADM	0.718411707	
ACADSB	0.921571159	
ACAN	0.336129604	0.341072146
ACE	0.273622178	
ACE2	0.640059244	0.640432396
ACHE	0.357717539	
ACOT13	1.176972434	
ACOX1	0.542859058	0.548600934
ACP1	0.465497803	
ACP5	0.382275385	0.38351087
ACP6	0.749735263	0.753225848
ACRBP	0.401721417	
ACRV1	1.201896504	
ACSL1	0.378617311	
ACTA2	0.527274164	0.532506415
ACTN2	0.622308565	
ACTN4	0.350953734	0.352974853
ACVRL1	0.293081597	0.304754538
ACY1	0.76877527	0.770858279
ACY3	0.585866395	
ACYP1	0.68661938	
ADA	0.399099357	0.398652429
ADA2	0.489299472	0.491725567
ADAM12	0.375160479	
ADAM15	0.342617164	0.344550082
ADAM22	0.396040182	0.403473469
ADAM23	0.394707149	0.39661924
ADAM8	0.328015363	0.329200141
ADAM9	0.31661691	
ADAMTS1	0.326632164	
ADAMTS13	0.262325105	0.263638638
ADAMTS15	0.536396199	0.538573273
ADAMTS16	0.372013421	0.376598267
ADAMTS4	0.374258687	
ADAMTS8	0.513601865	0.514127946
ADAMTSL2	0.365501522	
ADAMTSL4	0.250497252	
ADAMTSL5	0.409782386	
ADCYAP1R1	0.384844324	0.383080651
ADD1	0.739487559	
ADGRB3	0.373732918	0.377276611
ADGRD1	0.444677729	
ADGRE1	0.58055783	
ADGRE2	0.330760491	0.33165496
ADGRE5	0.356164075	0.357052475
ADGRF5	0.302274513	
ADGRG1	0.842509573	0.844112643
ADGRG2	0.335659372	0.339584646
ADGRV1	0.714294715	
ADH1B	0.830883977	
ADH4	1.035255053	1.037111807
ADIPOQ	0.853825263	
ADM	0.363168701	0.36805302
ADRA2A	0.736360068	
AFAP1	0.868642372	
AFM	0.218292469	
AFP	0.770490085	0.771936986
AGBL2	0.929704559	
AGER	0.474306941	0.475681753
AGR2	1.118891563	1.128578192
AGR3	0.667626278	0.673358344
AGRN	0.394099622	0.404967012
AGRP	0.601645585	0.613660905
AGT	0.234925129	
AGXT	0.888875155	0.887113337
AHCY	0.749369199	0.755938484
